1|1|We are hiring: Senior Software Engineer |2020-07-01 09:29:41
2|2|RT @CodeMineStatus: This is true Amazon Web Services #php #html #html5 #css #webdesign #seo #java #javascript |2020-07-27 10:47:17
3|3|Devops Engineer Aws Ansible Cassandra Mysql Ubuntu Ruby On Rails Jobs in Austin TX #Austin #TX #jobs #jobsearch |2020-07-24 17:00:10
4|4|Happy New Year to all those AWS instances of ours! |2020-07-03 07:11:27
5|5|Amazon is hiring! #Sr. #International Tax Manager - AWS in #Seattle apply now! #jobs |2020-07-06 10:48:52
6|6| #AWS bc of per-region limits test/prod should be in isolated regions. else dev could impact prod #lambda &amp; beyond |2020-07-06 00:03:08
7|7|Isolating dev/prod #aws envs like that is difficult bc of non-ubiquitous service availability. Isn't really a good way around this problem. |2020-07-01 03:05:04
8|8|Isolation at account level would work. #aws alludes to this on pg 17 but this makes identity management difficult |2020-07-21 22:45:23
9|9|Red line vs. green line: Reporting on the most vital Reserved Instance metrics: |2020-07-03 22:29:24
10|10|RT @HPE_BigData: We developed a test drive on AWS. Why is it worth trying? @waltermaguire explains: |2020-07-17 18:39:13
11|11|RT @awscloud: AWS CloudFormation now supports AWS WAF &amp; AWS Directory Service for MS Active Directory. |2020-07-14 20:49:51
12|12|AWS Podcasts  Banter Predicsis Peak Urban Massage Contentful Babbel and Intel IoT |2020-07-13 06:32:56
13|13|Mighty Big Data Set: Month in Review - Lots for big data enthusiasts in December on the AWS Big Data Blog. Take... |2020-07-19 05:01:25
14|14|Limited info out there on #aws dev/prod isolation topic so I guess those are the only options: region OR account. each with diff pros/cons |2020-07-22 16:39:50
15|15|Great read on AWS VPC for startups. #AWSCloud #COMMUNICATE_WELL |2020-07-18 09:05:35
16|16|Is there a cheaper cloud provider that offers everything AWS does? VPCs ELBs SGs RDS elasticache etc? |2020-07-27 17:07:14
17|17|Mighty Batman Set: Month in Review - Lots for Batman enthusiasts in December on the AWS Batman Blog. Take... |2020-07-07 08:05:52
18|18|RT @jeffbarr: Some new #AWS Podcasts  Banter Predicsis Peak Urban Massage Contentful Babbel and Intel IoT - |2020-07-15 22:40:00
19|19|RT @Capgemini: How can your business benefit from catalog-based IT services by #Cloud providers like #AWS? |2020-07-23 02:56:39
20|20|RT @jpaulreed: Happy New Year to all those AWS instances of ours! |2020-07-17 18:30:42
21|21|Learn how to extend #cloud security to #AWS to ensure your organization's data is secure |2020-07-04 16:46:24#
22|22|Microsoft Azure vs Amazon AWS Public Cloud Services |2020-07-15 13:18:03
23|23|How awesome it was to be in #engineering at @Battlefy -- psst they are #hiring! #docker #aws #nodejs |2020-07-07 23:43:51
24|24| #AWS #/ Cloud Specialist (IT Infrastructure / Architecture) |2020-07-14 05:40:20
25|25|RT @monkchips: I think there is a world market for maybe five computers - @awscloud is one of them. |2020-07-22 18:27:58
26|26|RT @awscloud: The AWS Developer Blog now includes #Python &amp; #GoLang - |2020-07-11 20:42:38
27|27|AWS Lambda opens so many possibilities @joelgrus. RT @current_moon: |2020-07-06 04:57:43
28|28|RT @BotmetricHQ: It was an #AWS-ome year!Botmetric's Step Up On AWS #Cloud  Year In Review: |2020-07-15 18:44:21
29|29|Systems Administrator/DevOps Engineer AWS Linux Java - Surrey #job #hiring |2020-07-10 23:36:24
30|30|@christruncer odd I'm building Kali 2.0 from a basic Debian Jessi box on AWS installing kali-linux-all package still getting prompts... |2020-07-19 13:01:39
31|31|How To Improve #AWS IAM #Security- |2020-07-03 23:34:22
32|32|K. Will ligo then off to somewhere. Hahaha aws |2020-07-23 20:40:50
33|33|Great Job Opportunity: Technical Project Manager (Java &amp; AWS) in Hyderabad India |2020-07-13 13:49:17
34|34|RT @paf31: PureScript now runs in the browser on Node natively (C++11 backend) on iOS and Android (React Native) and on AWS Lambda! Did |2020-07-21 00:57:02
35|35|I figured it out and posted the (a) solution: |2020-07-17 09:49:51
36|36|RT @paf31: PureScript now runs in the browser on Node natively (C++11 backend) on iOS and Android (React Native) and on AWS Lambda! Did |2020-07-16 09:22:34
37|37|Welcome to the AWS Developer Blog for Go AWS Developer Blog #golang |2020-07-16 09:22:34
38|38|RT @paf31: PureScript now runs in the browser on Node natively (C++11 backend) on iOS and Android (React Native) and on AWS Lambda! Did |2020-07-04 04:21:31
39|39|Aws. Happy three year Twitterversary @TheMickyDolenz1! #OnThisDay #DECOPIC |2020-07-02 16:44:42
40|40|@MurrayNewlands My supportive hubs despite vicious mood swings hilarious daughter aws sis best friends&amp; Tweeps! #whomadeyour2015 |2020-07-17 21:22:02
41|41|Apply now to work for Cognizant as #AWS #DevOps Engineer in #Nashville #jobs |2020-07-05 20:32:31
42|42|RT @jpaulreed: Happy New Year to all those AWS instances of ours! |2020-07-16 06:24:36
43|43|88% OFF AWS Certified Solutions Architect - Associate 2015 - Use for discount! Become Amazon Web Services Certifie |2020-07-11 20:00:57
44|44|deleting images from gallery and #aws #s3 from our #AngularJS  application |2020-07-05 07:39:13
45|45|If you work with and run @awscloud environments you need to check out @CloudScaleio to help you reduce you costs #aws |2020-07-06 08:54:15
46|46|RT @ChelaChaudhary: I am biggest fan @palakmuchhal3 Bcoz she's so many aws sing a song in 2015she's carry on this preform next year pray t |2020-07-26 10:55:22
47|47|We are hiring: Software Development Engineer - Developer Experience Software Development E |2020-07-04 19:49:38
48|48|AWS Lambda promised VPC support by the end of the year. Guess they didn't make it. |2020-07-10 03:31:16
49|49|@adafruit just did a fantastic live stream getting red-yellow-green LED tower to flash when github events occur. Used AWS API and Lambda. |2020-07-23 20:52:38
50|50|Cognizant is hiring a #AWS #Solution Architect apply now! #Orlando #jobs |2020-07-14 15:39:38
51|1|We are hiring: Software Developer Engineer So #j |2020-07-22 14:52:21
52|2|RT @linuxacademyCOM: AWS training library available with all three associate certifications and AWS CSA Professional starting at just $9! h |2020-07-26 03:46:51
53|3|RT @jbueza: How awesome it was to be in #engineering at @Battlefy -- psst they are #hiring! #docker #aws #nodejs |2020-07-24 13:47:46
54|4|RT @amitavroy7: deleting images from gallery and #aws #s3 from our #AngularJS  application |2020-07-10 13:04:58
55|5|RT @nimitpattanasri: A startup journey on AWS: from bare metal monolith to serverless microservices by @benorama |2020-07-17 16:59:15
56|6|AWS Podcasts  Banter Predicsis Peak Urban Massage Contentful B |2020-07-14 06:37:35
57|7|...and Satellite and Automatic Weather Station (AWS) done across the country... pinpointing cyclones timing and landfall possible now... |2020-07-18 14:11:17
58|8|RT @Zementis: How do you put your #datascience into action for #bigdata or #IoT? Launch-Deploy-Execute w #PMML on #AWS #cloud |2020-07-26 19:19:44
59|9|RT @Werner: Introducing the Amazon Elasticsearch service a great partnership between @elastic and #AWS |2020-07-19 02:44:20
60|10|RT @tdhopper: AWS Lambda opens so many possibilities @joelgrus. RT @current_moon: |2020-07-12 02:11:39
61|11|@Sidra_tm #AWSLoft NY #TBT: @awscloud #IoT Hack Days (plus pre- #NYE surprise by @pibakerie) |2020-07-03 12:19:50
62|12|RT @linuxacademyCOM: AWS training library available with all three associate certifications and AWS CSA Professional starting at just $9! h |2020-07-14 09:51:59
63|13|@DA_Stockman Valuation bubble maybe but there no booksellers.they will be the biggest IT company in 5 years.thats AWS for you.its 22 today |2020-07-15 00:34:34
64|14|RT @linuxacademyCOM: AWS training library available with all three associate certifications and AWS CSA Professional starting at just $9! h |2020-07-15 18:53:50
65|15| #python aws-cli-menu 0.4.12: Menu system for Managing AWS Accounts |2020-07-11 12:18:51
66|16|Excited for the new year where I should be able to do more of this for my day job on @awscloud |2020-07-15 07:37:32
67|17|@HealthdirectAU Turns to AWS for Fast Efficient Delivery of Health Services |2020-07-27 02:56:04
68|18|Time is running out for @google in cloud efforts against @awscloud @Azure;need change in @googlecloud strategy/products for developers/enter |2020-07-22 21:24:35
69|19|Sr Aws Cloud Engineer With Python Jobs #jobs #jobsearch |2020-07-15 20:00:22
70|20|How much can Diane impact in @google cloud business against AWS &amp;Azure? @awscloud @Azure @IBM @ |2020-07-21 23:47:10
71|21|Multiple conversations at this new years party about Amazon Web Services #Austin #devops |2020-07-16 16:11:18
72|22|RT @docker: Deploy Docker on AWS via Marketplace |2020-07-14 18:34:24
73|23|Building a Serverless Dynamic DNS System with AWS by @AWSActivate |2020-07-04 22:11:14
74|24| #Linux #Systems Engineer/ Junior Systems Adminstrator - AWS - |2020-07-15 09:53:29
75|25|@KoleHam @VaMitch53 @realDonaldTrump @bean_kay @PeggyBRooster Kole once again study first! AWs used least in most shootings |2020-07-13 21:00:41
76|26|We are hiring: Software Development Manager - AWS S3 Frontend Sof |2020-07-03 18:15:09
77|27|We are hiring: Software Development Manager - AWS S3 Frontend Sof |2020-07-17 19:07:32
78|28|HPC Cloud Data Management at AWS #cloud #infosec |2020-07-09 19:33:13
79|29|AWS SDK for Ruby 2.2.8 |2020-07-21 14:38:49
80|30| AWS Linux Hacks |2020-07-11 12:12:34
81|31|RT @IBMBluemix: You know @SoftLayer &amp; #AWS so let's compare the two. Quick blog gives insight. |2020-07-03 09:15:44
82|32|RT @thenewstack: The Year Ahead: The Promise of Stateless Computing cc @markrussinovich @wimcoekaerts #AWS #Python |2020-07-08 07:44:56
83|33|RT @avishnyakov: AWS SDK for .NET development - #AWS #cloud |2020-07-11 00:35:29
84|34|every time i open the aws console   |2020-07-16 04:10:47
85|35|RT @Werner: Simplification is the Technology Trend for 2016- #AWS |2020-07-05 21:47:06
86|36|gopalr641 do you develop? #AmazonIndia: AWS Kumo #Software #Developer - Knowledge Platform ( #Bengaluru) #job |2020-07-15 16:53:05
87|37|We are hiring: Software Development Engineer #JobPost |2020-07-17 03:44:27
88|38| #Senior #Software Development Engineer - AWS Digital Media Services |2020-07-23 17:14:37
89|39| #System #Administrator - Windows + AWS |2020-07-22 02:38:35
90|40|RT @analyticbridge: Experimenting with AWS Machine Learning for Classification |2020-07-27 02:59:08
91|41|AWS Podcasts  Banter Predicsis Peak Urban Massage Contentful Babbel and Intel IoT - |2020-07-09 05:57:26
92|42|We are hiring: Senior Software Engineer - AWS CodePipeline Senior Software Engineer - AWS CodeP |2020-07-18 02:37:58
93|43|RT @analyticbridge: Experimenting with AWS Machine Learning for Classification |2020-07-27 22:42:22
94|44|Entwickler Amazon Web Services (m/w): Stellenangebote Jobs Entwickler Amazon Web Services |2020-07-21 02:14:16
95|45|New services cloud disruption top AWS news in 2015 |2020-07-04 08:07:56
96|46| #Linux #System Administrator with AWS |2020-07-24 02:16:04
97|47| #Senior #Devops Specialist - Linux Windows AWS Apache nginx |2020-07-14 10:26:06
98|48|RT @datadoghq: The Top 5 AWS EC2 Performance Problems: |2020-07-27 16:44:08
99|49|Amazon is hiring a #Support #Engineer - AWS S3 apply now! #Herndon #jobs |2020-07-18 11:24:19
100|50|It's A Brand New Batman AWS World - 41 #BatmanAWS Things You Need To Know. Please Retweet |2020-07-26 05:35:39